75	382.64	0.0	[194, 195, 195, 195, 196, 197, 199, 205]
150	356.92	0.0	[354, 368, 411, 435, 438, 440, 442, 451]
225	281.16	0.0	[728, 752, 757, 824, 827, 832, 834, 841]
300	281.04	0.0	[989, 1000, 1007, 1074, 1080, 1085, 1091, 2007]
375	282.0	5.8	[971, 1001, 1052, 1073, 1080, 1089, 2197, 7016]
450	284.96	13.16	[914, 965, 1000, 1029, 1057, 1285, 7005, 7016]
525	289.04	19.96	[929, 957, 988, 1020, 1038, 3980, 7009, 7132]
600	286.44	29.0	[931, 971, 1008, 1043, 1067, 5475, 7012, 8501]
675	291.44	33.6	[894, 956, 976, 1025, 1049, 7007, 7013, 26461]
750	286.48	40.12	[943, 990, 1041, 1060, 1079, 7008, 7014, 16135]
